Experiment 1,Experiment 2,Experiment 3,Experiment 4
-221.8950045,9.48,-144.8602608,-438.6955266
-221.41834,9.46,-145.5682839,-432.1517743
-220.1701993,9.47,-145.6438911,-423.2204363
-218.2896967,9.47,-146.0234348,-419.8617023
-220.6142654,9.49,-142.8161304,-414.7245244
-218.7019952,9.5,-141.8879766,-408.7700263
-218.2645425,9.5,-140.7346471,-402.4888027
-221.7170346,9.51,-136.3303665,-395.6340243
-224.6579385,9.51,-135.7457838,-388.478633
-226.7278444,9.49,-135.9563512,-379.1425283
-232.4233244,9.49,-136.5089753,-374.2490889
-235.6554402,9.47,-135.9256789,-366.9248885
-239.1690934,9.45,-135.0869399,-361.1697692
-237.3003354,9.45,-133.9632344,-356.3029943
-233.7295375,9.44,-132.329736,-351.8453031
-237.6859864,9.43,-131.7492447,-341.715179
-236.8581939,9.44,-130.854909,-336.410322
-236.1182221,9.44,-130.6723693,-328.9908539
-238.5487061,9.45,-125.5595561,-323.4392343
-236.5186198,9.45,-123.6519497,-322.516201
-235.8417248,9.46,-123.7812143,-318.8782362
-235.6337541,9.46,-124.2921398,-312.2857876
-235.6251933,9.47,-123.8494742,-305.9975606
-233.9621742,9.47,-123.4527676,-302.8286482
-232.8776881,9.47,-123.6634713,-295.2775716
-232.2122635,9.46,-123.0713035,-291.7312812
-230.5946084,9.46,-123.1177703,-285.7400048
-228.9997387,9.45,-122.5121703,-279.7641153
-228.113529,9.47,-121.4258359,-274.1375439
-225.6640377,9.47,-121.3097247,-268.72641
-224.5963405,9.46,-120.7360273,-263.2957793
-224.5341338,9.47,-119.9867941,-257.8755594
-222.8180475,9.46,-119.2792065,-253.7081703
-221.0427042,9.45,-119.0853116,-249.4918636
-220.7757264,9.45,-119.6518444,-243.348655
-219.7148416,9.44,-118.5496751,-236.5617919
-218.7878129,9.44,-117.7499152,-229.8994307
-216.8414868,9.44,-117.3611119,-223.6549661
-214.1177352,9.44,-116.1393537,-217.9807126
-213.3454141,9.46,-114.9102486,-213.6076306
-212.0837282,9.47,-114.2002048,-209.0714124
-211.5532483,9.47,-113.1207738,-204.1010604
-211.5047779,9.45,-112.4875486,-197.384876
-211.5958624,9.45,-112.233708,-193.9844878
-211.2862511,9.45,-111.3443649,-191.0123228
-210.9272947,9.46,-109.8355714,-190.7589349
-209.773564,9.45,-108.81871,-187.3805596
-210.0974497,9.44,-108.1903892,-180.522163
-209.7860959,9.43,-108.3026405,-179.1914285
-205.8743722,9.43,-107.0811264,-174.1723636
-205.0211535,9.43,-106.3836957,-171.2237121
-202.5422575,9.43,-105.551625,-171.0094123
-200.1607284,9.45,-103.9815262,-168.4389236
-199.1176758,9.44,-102.6925727,-166.6657621
-199.0323321,9.43,-102.5667995,-166.1252335
-197.952864,9.43,-102.1511725,-158.0419958
-196.3379199,9.42,-101.7280507,-157.4773122
-196.1745822,9.42,-101.3139948,-155.3567882
-197.1698515,9.42,-100.151491,-148.5442777
-196.0761681,9.42,-100.0616798,-143.3834128
-196.1848251,9.42,-98.52092715,-142.3712729
-195.242918,9.42,-97.79863524,-141.9051694
-193.5610164,9.43,-97.0736266,-141.4017316
-193.7345082,9.42,-96.67431168,-140.7348972
-191.9951424,9.43,-99.05476646,-140.5422238
-191.0559275,9.42,-97.32739704,-140.6304672
-187.1118564,9.42,-95.08743006,-138.8953749
-188.2777333,9.42,-93.40468656,-136.3832664
-188.3142535,9.43,-92.66399026,-135.2559575
-188.685969,9.44,-91.88273207,-133.2327899
-189.7785828,9.44,-91.57402627,-128.5455414
-187.1886299,9.42,-90.57875098,-128.4488338
-183.5214097,9.43,-89.95051618,-129.5531025
-183.0953681,9.43,-89.09802801,-128.6148531
-182.648847,9.42,-87.33024772,-127.7162656
-182.6352115,9.41,-86.20517264,-124.2696123
-181.5494932,9.4,-86.31427179,-123.7821243
-181.6350648,9.39,-86.17367697,-126.0369704
-181.8364129,9.38,-85.98290937,-126.3674731
-181.8837697,9.37,-85.47972769,-123.8841136
-181.0692606,9.37,-84.38851314,-122.5615823
-180.7863646,9.37,-82.90829307,-121.4718153
-177.3780806,9.35,-82.55952675,-120.5952585
-172.7955554,9.37,-81.80812533,-119.0762738
-166.1285771,9.36,-80.73125285,-117.9799241
-162.2893971,9.36,-79.89349115,-116.8679873
-161.6799027,9.35,-78.94886513,-117.1013568
-161.3448841,9.35,-78.91036326,-116.3145417
