Experiment 1,Experiment 2,Experiment 3,Experiment 4
-783.1093753,142.45,-997.533439,-594.1230225
-791.2355106,143.02,-996.9185858,-596.9708372
-802.7926565,143.02,-992.9255944,-599.7353338
-827.2218636,143.21,-995.7149199,-601.4166445
-828.8619814,143.28,-990.1611852,-600.0645854
-832.0582855,143.36,-991.1735112,-602.0646159
-837.1511,143.36,-985.2330826,-602.1439364
-834.3167963,144.73,-977.715148,-605.6703876
-836.5015163,144.99,-987.4245866,-605.9464721
-843.8922756,145.68,-989.7352481,-607.9224737
-850.4748367,146.03,-975.2927509,-608.8481528
-851.92934,146.52,-974.0515545,-607.9847104
-854.5208343,146.75,-976.748442,-607.1893926
-864.3275267,147.57,-977.4256531,-605.9052777
-869.2179764,148.34,-986.7290292,-605.2254759
-867.5245545,149.07,-993.7241733,-603.275195
-888.6481097,150.13,-1000.82689,-600.932567
-893.1559379,151.25,-1015.981388,-604.1538707
-906.0467144,151.34,-989.4146289,-601.0756693
-909.372221,152.69,-992.7157784,-598.0021168
-912.8701034,153.06,-990.9534837,-595.8857079
-918.7524307,154.24,-995.9354996,-592.1657668
-926.2652084,155.01,-1002.971959,-589.1561101
-932.6680023,155.43,-1009.715488,-588.2883816
-931.6924958,155.54,-1010.2323,-584.1797302
-940.4281715,156.84,-1018.292448,-585.6384118
-941.4174646,157.84,-1020.007784,-582.8608549
-955.4124043,158.52,-1015.381888,-576.986606
-963.9106916,159.82,-1029.483408,-577.812813
-997.9439122,160.84,-1050.226287,-577.8604177
-1030.723779,162.03,-1054.04849,-576.3338481
-1036.226591,162.95,-1051.45925,-570.2152166
-1054.343365,163.99,-1052.498031,-570.1876288
-1059.471269,164.7,-1056.545039,-569.6084197
-1077.281204,165.38,-1069.031135,-565.3597307
-1081.664786,166.41,-1072.141345,-559.9621661
-1085.832374,167.09,-1077.374648,-553.8964973
-1094.599509,168.33,-1094.636499,-553.2709809
-1104.285801,168.85,-1106.142199,-554.256929
-1113.420383,169.98,-1117.204554,-549.7039063
-1119.541681,170.97,-1119.593253,-547.0572838
-1131.20452,172.16,-1125.604866,-541.1643417
-1142.230268,173.13,-1126.001052,-542.6388879
-1148.80079,173.57,-1118.073623,-536.1663291
-1161.216439,173.99,-1121.325678,-531.1039504
-1177.960647,175.15,-1131.789292,-531.5716772
-1181.762719,175.77,-1131.82353,-523.8089834
-1192.335357,177.14,-1130.619232,-520.8664357
-1193.624654,177.53,-1140.722485,-517.6842033
-1199.103157,178.64,-1147.102681,-515.8143303
-1220.360328,179.23,-1153.984887,-512.5256908
-1225.186664,180.29,-1160.606855,-512.6531941
-1240.140516,180.29,-1164.563099,-514.9628557
-1262.09923,180.94,-1167.718965,-510.8013364
-1266.315453,181.71,-1170.840404,-507.8089152
-1271.078115,181.41,-1175.983466,-504.2526509
-1278.813318,182.26,-1163.692701,-503.4136777
-1285.717059,182.46,-1171.867133,-496.111731
-1286.631282,183.22,-1176.447757,-494.3842936
-1307.542676,183.22,-1191.50418,-491.1553038
-1321.16356,184.29,-1194.370767,-482.9640772
-1325.214583,185.31,-1182.261473,-483.0102817
-1330.386589,186.23,-1184.115228,-478.1074473
-1337.073305,187.01,-1183.245646,-477.8309303
-1341.355211,187.75,-1190.610025,-479.9836372
-1344.674575,188.92,-1200.51281,-477.8640308
-1345.607898,189.04,-1209.768608,-472.223111
-1348.842928,189.46,-1186.457528,-469.8527455
-1351.478979,189.99,-1185.391695,-462.9790716
